ship;flag;lenght;draft;navigation;arrival;notice;office;first_operation;second_operation;first_goods;second_goods;first_weight;second_weight;voyage;duv;priority;terminal;ship_type
JAG SPARROW;LIBERIANA;228;7;Long;04/12/2023 04:42:00;5107-1;AGÊNCIA MARÍTIMA ORION;DESC   ;0;OLEO DIESEL;0;56262;0;5318-82023;524652023;B;ALAMOA;LIQUIDO A GRANEL
OWL 5;ILHAS MARSHALL;129;8.4;Long;08/12/2023 09:30:00;5207-8;ROCHAMAR AGENCIA MARITIMA S/A;EMB ;0;GRAN.LIQUIDO NAO ESPECIF;0;3750;0;5518-72023;548962023;B;ALAMOA;LIQUIDO A GRANEL
FAIRCHEM EDGE;ILHAS MARSHALL;147;9;Long;13/12/2023 07:12:00;5250-7;LBH BRASIL AG MARITIMO LTDA;EMB ;0;ETHANOL;0;16800;0;5438-32023;541272023;B;ALAMOA;LIQUIDO A GRANEL
ELAN VITAL;ILHAS MARSHALL;228;7.5;Long;16/12/2023 11:12:00;5302-3;NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP;DESC   ;0;OLEO DIESEL;0;21530;0;5471--2023;518592023;B;ALAMOA;LIQUIDO A GRANEL
ANITA GARIBALDI;BRASILEIRA;228;11.2;Long;18/12/2023 09:30:00;5329-5;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;OLEO COMBUSTIVEL;0;42000;0;5592-22023;556302023;B;ALAMOA;LIQUIDO A GRANEL
JAKARTA;LIBERIANA;183;11;Cabo;19/12/2023 15:00:00;5345-7;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;OLEO COMBUSTIVEL;0;27000;0;5597-42023;560182023;B;ALAMOA;LIQUIDO A GRANEL
TROY;ILHAS DE COOK;229;8.5;Long;20/12/2023 01:00:00;5348-1;NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP;DESC   ;0;OLEO DIESEL;0;29900;0;5497-02023;543152023;B;ALAMOA;LIQUIDO A GRANEL
FLUMAR BRASIL;BRASILEIRA;183;11;Cabo;21/12/2023 20:30:00;5384-8;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;OLEO DIESEL;0;30000;0;5656--2023;566562023;B;ALAMOA;LIQUIDO A GRANEL
SAKURA ADVANCE;PANAMENHA;170;7;Long;22/12/2023 11:18:00;5395-3;WAYPOINT AGENCIA MARITIMA LTDA;DESC   ;0;GRAN.LIQUIDO NAO ESPECIF;0;7000;0;5524-72023;549832023;B;ALAMOA;LIQUIDO A GRANEL
STOLT SYPRESS;LIBERIANA;182;9;Long;24/12/2023 18:04:00;5426-7;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;EMB ;0;GRAN.LIQUIDO NAO ESPECIF;0;20138;0;5634-72023;562402023;B;AGEO(ILHA);LIQUIDO A GRANEL
